%CF,12033,43664
%CF,12033,87665
%CF,46048,136606
%CF,12480,45720
%CF,12480,45719
%CF,1001286,1004424
%CF,1002676,1008298
%CF,2155,4328
%CF,34059,113450
%CF,11926,43299
%CF,11926,43301
%CF,11926,43309
%CF,34088,131182
%CF,11926,43304
%CF,46048,136606
%CF,12766,47067
%CF,12766,47084
%CF,12766,47115
%CF,12766,47144
%CF,12766,47166
%CF,12766,47167
%CF,12766,47165
%CF,12766,47163
%CF,12766,1004997
%CF,12766,47065
%CF,12766,47086
%CF,12766,47091
%CF,1002162,1006905
%CF,12149,44193
%CF,12149,1006263
%CF,34037,113262
%CF,12149,44190
%CF,1007151,1023034
%CF,12149,44187
M,23212,144352
%CF,18667,1036372
%CF,18667,1036926
%CF,18667,1023123
%CF,18667,85583
%CF,18667,1037329
%CF,18667,1027489
%CF,18667,1037582
M,23212,137699
%CF,18667,1006503
%CF,18667,46621
%CF,18667,46635
%CF,48563,145992
%CF,18667,46648
%CF,48563,141996
%CF,48563,1024072
%CF,34119,113388
%CF,12475,45710
%CF,8741,1026504
%CF,33985,113200
%CF,1012396,1036874
%CF,18667,1037329
%CF,8741,45558
%CF,18667,132912
%CF,48563,1024072
%CF,48563,1024073
%CF,18667,90732
%CF,19436,72458
%CF,18667,1036372
%CF,18667,1024260
M,21197,80574
%CF,12442,45663
M,21197,80583
%CF,26819,103197
%CF,26819,103199
M,21197,80586
M,21197,1010220
%CF,12149,44200
%CF,12766,47101
%CF,12766,47097
%CF,1004755,1015362
%CF,43707,132488
%CF,12766,47169
M,44910,134601
%CF,12009,115217
M,42352,130599
%CF,44755,134343
%CF,12480,45720
%CF,34088,1006415
%CF,1005243,1028867
%CF,11982,43474
M,1003219,1010234
%CF,1002612,1020624
%CF,1002612,1009890
%CF,1002612,1019356
%CF,1002612,1012093
%CF,1002612,1025612
%CF,1002612,1020359
%CF,1002612,1009918
%CF,1010031,1031159
%CF,1002612,1009894
%CF,1002612,1027365
%CF,1010031,1040195
%DF,17960,68167
%DF,17960,68162
%CF,12494,45816
%CF,43707,132488
%CF,1002815,1008778
%CF,28115,103837
M,21197,80581
%CF,1001624,1029181
%CF,43600,132361
%CF,18667,46641
%CF,18667,1037330
%CF,11959,43394
%CF,11959,43399
%CF,11959,43399
%CF,12149,44199
%CF,18667,46656
%CF,12149,44199
%CF,18667,46631
%CF,12149,44196
%CF,11926,43314
%CC,11102,1019342
%CC,10939,39670
%CC,10532,38150
%CC,24710,91402
%CC,27193,98059
%CC,26540,97402
%CC,10139,83356
